,order_id,merchant_id,staff_id
300000,e8bafe72-d506-4437-b357-f38682353238,MERCHANT13004,STAFF0009879
300001,eae5e846-c16b-4959-9f90-331c355951ff,MERCHANT17176,STAFF0045676
300002,913f901b-d488-49be-bcaf-86fcd581a528,MERCHANT0855,STAFF0031852
300003,8479d795-6c4d-41d0-a0c7-4ca9c3c3ca31,MERCHANT40576,STAFF0052472
300004,2aaae5b3-c858-4d05-b92f-cd2085201c66,MERCHANT32289,STAFF0031305
300005,abb0bd21-2066-4695-ab99-a73555206539,MERCHANT51288,STAFF0025008
300006,d8966992-7ac0-4ff7-95a8-a58addb354ba,MERCHANT28517,STAFF0025639
300007,4158b2f6-71fb-4301-9f98-0cf78b84c40c,MERCHANT25043,STAFF0043821
300008,f4b67ace-f4dd-4112-b1f8-2525b45530b0,MERCHANT2701,STAFF0020150
300009,3415556c-4f4c-42d0-a2ec-75c075a9da42,MERCHANT0972,STAFF0055347
300010,2a79c710-ec21-4111-8cfa-1955c6b92a6d,MERCHANT50614,STAFF0021983
300011,fdef9352-75c0-4405-9968-f410f2d0c91c,MERCHANT28052,STAFF0052624
300012,d7cdf6ce-2879-4dd8-a260-956246288cad,MERCHANT36471,STAFF0062018
300013,b6745194-67ee-421d-8cf2-49763f74d4d5,MERCHANT46999,STAFF0045151
300014,90871c1c-7211-4349-9162-23d88bdea22d,MERCHANT32111,STAFF0005269
300015,9d666ebb-7179-4c1b-9d5f-c9072c678014,MERCHANT23403,STAFF0037884
300016,f6324245-7858-46d7-a711-27fa31236e3c,MERCHANT42973,STAFF0016936
300017,179a27c3-b254-4ee0-a17f-10b1af5293f3,MERCHANT33023,STAFF0062575
300018,68661924-686a-4414-ac29-b72c6c964590,MERCHANT28820,STAFF0022950
300019,62c8f3f5-e26b-41bf-9346-1963bceaf4d2,MERCHANT62865,STAFF0046709
300020,f7df9c06-bc9e-48b9-aa6e-54273416043a,MERCHANT19478,STAFF0041555
300021,48342853-34f0-470e-88aa-f089e8485dee,MERCHANT19810,STAFF0034286
300022,e76df656-8371-4092-ace1-b49b4c84cedf,MERCHANT44949,STAFF0025538
300023,548158f0-adcd-41a1-9f6d-31752c63d429,MERCHANT6935,STAFF0048079
300024,78fd9ae5-18c4-47ce-96cc-f395df43f47b,MERCHANT61244,STAFF0060996
300025,7221c9e7-2441-4a8b-8d8c-c6a6aa4084d3,MERCHANT6650,STAFF0059094
300026,72bf3093-db1e-4229-bc21-b49e73ca7a3c,MERCHANT52204,STAFF0015380
300027,b4ed69f7-5fbe-4c2b-a755-dcb3ebb10ef4,MERCHANT3463,STAFF0028036
300028,8d55f7d2-1a92-4351-84e3-8d65b28c19a1,MERCHANT25103,STAFF0054433
300029,881622b4-bff2-4792-a1ac-091c5415e658,MERCHANT19622,STAFF0000099
300030,5397a7c6-63c3-454b-a6ec-1bddd6e085a7,MERCHANT20166,STAFF0027209
300031,0c98ae53-2cd1-4ed7-b9c7-ad36eff38d77,MERCHANT15732,STAFF0054258
300032,602a4055-b628-47ba-9186-a907f8a8974e,MERCHANT23495,STAFF0002817
300033,033adea8-af16-4f13-813b-82309ba28466,MERCHANT3610,STAFF0041994
300034,855022f8-d62d-49c0-a38c-c1042a829950,MERCHANT12831,STAFF0044788
300035,51b9ec98-1e18-4a62-8d80-061971d2ac2e,MERCHANT52605,STAFF0012541
300036,c6c9a5ed-1228-4b41-aaad-1987168a5975,MERCHANT49648,STAFF0013782
300037,435e2ee1-1493-49d7-9d65-52fcc699e51c,MERCHANT41802,STAFF0021674
300038,f4429d7e-659a-4d0e-bee0-b1cf2ed3042f,MERCHANT5881,STAFF0000656
300039,677e1bf7-90d5-4653-ad4f-8b6743ba2497,MERCHANT22762,STAFF0014842
300040,45a44a51-a4c9-499d-9503-c50a16a0b30d,MERCHANT49002,STAFF0001808
300041,1ad33e57-2eb3-4ac6-a7e6-af7530c27b02,MERCHANT30319,STAFF0015261
300042,2b870e9b-0b8a-4c43-a59e-20f8a34bb502,MERCHANT42325,STAFF0048882
300043,16a1dc68-f6cd-4290-a7ef-8ed4642c055f,MERCHANT53925,STAFF0003126
300044,70a9ab11-ff91-4a23-96cd-613cd888df42,MERCHANT55920,STAFF0009071
