,transaction_date,campaign_id,order_id,estimated arrival,availed
2,8/14/2023,CAMPAIGN49972,0612c246-57f1-40e8-9993-0f8d41992049,10days,1
4,10/12/2021,CAMPAIGN46302,b4c411de-2fd3-4806-91ae-165edc9baa12,13days,0
6,1/30/2023,CAMPAIGN29983,26de6b40-db2d-40b9-a64c-58736eaf0381,3days,1
8,1/5/2022,CAMPAIGN46302,26b60a4e-aafe-4b99-bace-034d088a4a53,8days,1
9,9/19/2023,CAMPAIGN46302,4aab29ae-e610-46bf-92af-199f6f420cee,14days,1
16,7/1/2020,CAMPAIGN46302,3312851e-28dc-4508-8003-09ba304ce9e2,11days,1
22,7/18/2022,CAMPAIGN29983,9ae58335-164a-467c-ae22-fe5dabe806b9,10days,1
24,8/28/2020,CAMPAIGN29983,65abaa49-3ae1-44bb-8366-ef9d7e264a4c,7days,1
27,11/13/2023,CAMPAIGN03110,fd92cc32-e28e-4f14-b8f8-4526ea58fb3f,3days,1
33,9/21/2022,CAMPAIGN46302,61c61e9b-9838-4c95-8390-4343fbac7a18,9days,1
35,12/7/2020,CAMPAIGN29983,01087f04-1e58-418a-ad71-6e2c7640c212,3days,1
36,10/22/2020,CAMPAIGN61872,b6096515-6b14-4bf6-b459-5cb99c5dcbd0,7days,1
40,3/16/2020,CAMPAIGN49972,579acffb-9fbf-4d5d-be56-19bb793c7e99,4days,0
41,10/11/2021,CAMPAIGN24776,84295de8-90c2-4e67-a1d9-b1ffab45623f,13days,0
47,4/19/2022,CAMPAIGN33679,bcf7c7cf-555f-4707-8fae-8725c86f4495,4days,1
52,12/15/2022,CAMPAIGN53595,5b745b71-71ba-4fe1-ab3a-7d5b6d1480ff,3days,1
61,10/9/2021,CAMPAIGN29983,b3965e7d-23d7-475b-93f0-13b49a999030,9days,1
63,5/24/2022,CAMPAIGN49972,1fc6e535-2d1c-4bef-b07a-f144c66a51a9,4days,0
65,11/30/2021,CAMPAIGN61872,b686ebbd-5349-455d-913d-468132dc3034,11days,1
67,2/20/2020,CAMPAIGN29983,c218f18b-d8a6-4125-a408-d05a15b95e92,5days,0
68,6/16/2020,CAMPAIGN49972,3d70b1a6-aa00-4ccc-baf0-3f47822cd5af,13days,1
86,7/24/2022,CAMPAIGN52447,750a702a-aba6-4f96-92cf-13ca25c86b34,12days,1
87,9/13/2021,CAMPAIGN11190,8761c155-a513-4d90-90ab-a247933fc247,12days,1
88,3/9/2022,CAMPAIGN29983,af8f6e85-8e99-47d2-bb9b-84bdf85f40fb,10days,0
98,9/29/2022,CAMPAIGN52447,ac8af550-7b22-423d-b0e0-c5def94580e9,9days,0
111,4/15/2023,CAMPAIGN52447,72803179-657d-4167-b634-631af4dba45c,13days,1
122,7/31/2023,CAMPAIGN46302,78f15595-046b-40ed-a70e-a406ce5e9be5,9days,0
125,4/26/2022,CAMPAIGN11190,9e0e2def-ac90-4d50-94d3-63c2066465f4,10days,1
130,12/23/2021,CAMPAIGN49972,f7701cdd-f012-41c6-a564-cd5020582c5c,11days,0
135,6/26/2021,CAMPAIGN03110,3f3b2347-17a3-468c-a203-e69ee9295085,12days,1
140,2/8/2021,CAMPAIGN29983,2288cfde-b7ab-43f7-a66e-002a4332432f,6days,0
